ID,Name,Concepticon_ID,Concepticon_Gloss
1_arm,arm,1673,ARM
2_back,back,1291,BACK
3_body,body,1480,BODY
4_buttocks,buttocks,834,BUTTOCKS
5_ear,ear,1247,EAR
6_eye,eye,1248,EYE
7_face,face,1560,FACE
8_finger,finger,1303,FINGER
9_foot,foot,1301,FOOT
10_hand,hand,1277,HAND
11_head,head,1256,HEAD
12_heart,heart,1223,HEART
13_heel,heel,980,HEEL
14_hip,hip,1745,HIP
15_knee,knee,1371,KNEE
16_leg,leg,1297,LEG
17_mouth,mouth,674,MOUTH
18_neck,neck,1333,NECK
19_nose,nose,1221,NOSE
20_rib,rib,801,RIB
21_shoulder,shoulder,1482,SHOULDER
22_skin,skin,2613,SKIN (HUMAN)
23_sole,sole,2666,SOLE (FOOT)
24_throat,throat,1346,THROAT
25_toe,toe,1389,TOE
26_tongue,tongue,1205,TONGUE
27_tooth,tooth,1380,TOOTH
28_vein,vein,1924,VEIN
